dataset,model,category,complexity,protocol,rmse_mean,rmse_std,n
ML-1M,GlobalMean,Bias,1,SC,1.1249,0.0078,3
ML-1M,GlobalMean,Bias,1,WR,1.1102,0.0015,3
ML-1M,GlobalMean,Bias,1,WT,1.1035,0.0000,3
ML-1M,UserBias,Bias,1,SC,1.1249,0.0078,3
ML-1M,UserBias,Bias,1,WR,1.0304,0.0009,3
ML-1M,UserBias,Bias,1,WT,1.0941,0.0000,3
ML-1M,ItemBias,Bias,1,SC,0.9860,0.0017,3
ML-1M,ItemBias,Bias,1,WR,0.9752,0.0016,3
ML-1M,ItemBias,Bias,1,WT,0.9632,0.0000,3
ML-1M,UserItemBias,Bias,1,SC,0.9896,0.0035,3
ML-1M,UserItemBias,Bias,1,WR,0.9056,0.0006,3
ML-1M,UserItemBias,Bias,1,WT,0.9544,0.0000,3
ML-1M,SVD,MF,2,SC,0.9880,0.0022,3
ML-1M,SVD,MF,2,WR,0.8983,0.0012,3
ML-1M,SVD,MF,2,WT,0.9523,0.0003,3
ML-1M,NeuMF,Deep,3,SC,1.0446,0.0176,3
ML-1M,NeuMF,Deep,3,WR,0.9158,0.0157,3
ML-1M,NeuMF,Deep,3,WT,1.0261,0.0290,3
ML-1M,DeepFM,Deep,3,SC,1.3153,0.0628,3
ML-1M,DeepFM,Deep,3,WR,1.2620,0.0158,3
ML-1M,DeepFM,Deep,3,WT,1.2689,0.1258,3
ML-1M,BehaviorMLP,Deep,3,SC,1.2570,0.1752,3
ML-1M,BehaviorMLP,Deep,3,WR,0.9180,0.0003,3
ML-1M,BehaviorMLP,Deep,3,WT,0.9262,0.0005,3
ML-1M,ProfileMLP,Deep,3,SC,1.0889,0.0050,3
ML-1M,ProfileMLP,Deep,3,WR,1.0596,0.0018,3
ML-1M,ProfileMLP,Deep,3,WT,1.0652,0.0007,3
ML-1M,Hybrid,Deep,3,SC,1.0073,0.0039,3
ML-1M,Hybrid,Deep,3,WR,0.9058,0.0003,3
ML-1M,Hybrid,Deep,3,WT,0.9248,0.0010,3
ML-1M,DualHard,Adaptive,4,SC,1.0886,0.0069,3
ML-1M,DualHard,Adaptive,4,WR,0.9164,0.0008,3
ML-1M,DualHard,Adaptive,4,WT,0.9275,0.0001,3
ML-1M,DualSoft,Adaptive,4,SC,1.0683,0.0180,3
ML-1M,DualSoft,Adaptive,4,WR,0.9151,0.0004,3
ML-1M,DualSoft,Adaptive,4,WT,0.9242,0.0007,3
GoodBooks,GlobalMean,Bias,1,SC,0.9916,0.0021,3
GoodBooks,GlobalMean,Bias,1,WR,0.9909,0.0006,3
GoodBooks,GlobalMean,Bias,1,WT,0.9655,0.0000,3
GoodBooks,UserBias,Bias,1,SC,0.9916,0.0021,3
GoodBooks,UserBias,Bias,1,WR,0.8943,0.0006,3
GoodBooks,UserBias,Bias,1,WT,0.9500,0.0000,3
GoodBooks,ItemBias,Bias,1,SC,0.9547,0.0020,3
GoodBooks,ItemBias,Bias,1,WR,0.9535,0.0006,3
GoodBooks,ItemBias,Bias,1,WT,0.9361,0.0000,3
GoodBooks,UserItemBias,Bias,1,SC,0.9596,0.0021,3
GoodBooks,UserItemBias,Bias,1,WR,0.8535,0.0006,3
GoodBooks,UserItemBias,Bias,1,WT,0.9198,0.0000,3
GoodBooks,SVD,MF,2,SC,0.9624,0.0021,3
GoodBooks,SVD,MF,2,WR,0.8494,0.0004,3
GoodBooks,SVD,MF,2,WT,0.9293,0.0002,3
GoodBooks,NeuMF,Deep,3,SC,0.9712,0.0046,3
GoodBooks,NeuMF,Deep,3,WR,0.8549,0.0100,3
GoodBooks,NeuMF,Deep,3,WT,0.9329,0.0073,3
GoodBooks,DeepFM,Deep,3,SC,1.0409,0.0544,3
GoodBooks,DeepFM,Deep,3,WR,1.0467,0.1730,3
GoodBooks,DeepFM,Deep,3,WT,0.9447,0.0155,3
GoodBooks,BehaviorMLP,Deep,3,SC,0.9791,0.0078,3
GoodBooks,BehaviorMLP,Deep,3,WR,0.8594,0.0005,3
GoodBooks,BehaviorMLP,Deep,3,WT,0.8616,0.0018,3
GoodBooks,ProfileMLP,Deep,3,SC,0.9803,0.0021,3
GoodBooks,ProfileMLP,Deep,3,WR,0.9793,0.0007,3
GoodBooks,ProfileMLP,Deep,3,WT,0.9562,0.0002,3
GoodBooks,Hybrid,Deep,3,SC,0.9945,0.0084,3
GoodBooks,Hybrid,Deep,3,WR,0.8578,0.0006,3
GoodBooks,Hybrid,Deep,3,WT,0.8576,0.0006,3
GoodBooks,DualHard,Adaptive,4,SC,0.9787,0.0022,3
GoodBooks,DualHard,Adaptive,4,WR,0.8593,0.0006,3
GoodBooks,DualHard,Adaptive,4,WT,0.8593,0.0008,3
GoodBooks,DualSoft,Adaptive,4,SC,0.9945,0.0104,3
GoodBooks,DualSoft,Adaptive,4,WR,0.8592,0.0006,3
GoodBooks,DualSoft,Adaptive,4,WT,0.8606,0.0001,3
Book-Crossing,GlobalMean,Bias,1,SC,0.8214,0.0066,3
Book-Crossing,GlobalMean,Bias,1,WR,0.8192,0.0009,3
Book-Crossing,UserBias,Bias,1,SC,0.8214,0.0066,3
Book-Crossing,UserBias,Bias,1,WR,0.7350,0.0008,3
Book-Crossing,ItemBias,Bias,1,SC,0.8092,0.0061,3
Book-Crossing,ItemBias,Bias,1,WR,0.8071,0.0007,3
Book-Crossing,UserItemBias,Bias,1,SC,0.8088,0.0065,3
