dataset,model,SC_regret,WR_regret,WT_regret,mean_regret,worst_regret
ML-1M,GlobalMean,0.1389,0.2119,0.1793,0.1767,0.2119
ML-1M,UserBias,0.1389,0.1320,0.1699,0.1470,0.1699
ML-1M,ItemBias,0.0000,0.0769,0.0389,0.0386,0.0769
ML-1M,UserItemBias,0.0036,0.0073,0.0302,0.0137,0.0302
ML-1M,SVD,0.0021,0.0000,0.0281,0.0101,0.0281
ML-1M,NeuMF,0.0586,0.0175,0.1019,0.0593,0.1019
ML-1M,DeepFM,0.3293,0.3636,0.3447,0.3459,0.3636
ML-1M,BehaviorMLP,0.2710,0.0197,0.0020,0.0976,0.2710
ML-1M,ProfileMLP,0.1029,0.1612,0.1409,0.1350,0.1612
ML-1M,Hybrid,0.0213,0.0075,0.0005,0.0098,0.0213
ML-1M,DualHard,0.1026,0.0181,0.0033,0.0413,0.1026
ML-1M,DualSoft,0.0823,0.0168,0.0000,0.0330,0.0823
GoodBooks,GlobalMean,0.0369,0.1415,0.1079,0.0954,0.1415
GoodBooks,UserBias,0.0369,0.0449,0.0924,0.0581,0.0924
GoodBooks,ItemBias,0.0000,0.1040,0.0785,0.0608,0.1040
GoodBooks,UserItemBias,0.0049,0.0041,0.0623,0.0238,0.0623
GoodBooks,SVD,0.0077,0.0000,0.0717,0.0265,0.0717
GoodBooks,NeuMF,0.0165,0.0055,0.0753,0.0324,0.0753
GoodBooks,DeepFM,0.0862,0.1972,0.0871,0.1235,0.1972
GoodBooks,BehaviorMLP,0.0244,0.0100,0.0040,0.0128,0.0244
GoodBooks,ProfileMLP,0.0257,0.1298,0.0986,0.0847,0.1298
GoodBooks,Hybrid,0.0398,0.0083,0.0000,0.0160,0.0398
GoodBooks,DualHard,0.0240,0.0099,0.0017,0.0119,0.0240
GoodBooks,DualSoft,0.0398,0.0098,0.0030,0.0175,0.0398
Book-Crossing,GlobalMean,0.1440,0.1697,-,0.1569,0.1697
Book-Crossing,UserBias,0.1440,0.0854,-,0.1147,0.1440
Book-Crossing,ItemBias,0.1318,0.1576,-,0.1447,0.1576
Book-Crossing,UserItemBias,0.1315,0.0742,-,0.1028,0.1315
Book-Crossing,SVD,0.1323,0.0773,-,0.1048,0.1323
Book-Crossing,NeuMF,0.1423,0.0990,-,0.1207,0.1423
Book-Crossing,DeepFM,0.1615,0.1359,-,0.1487,0.1615
Book-Crossing,BehaviorMLP,0.0000,0.0075,-,0.0037,0.0075
Book-Crossing,ProfileMLP,0.1385,0.1614,-,0.1499,0.1614
Book-Crossing,Hybrid,0.0063,0.0000,-,0.0031,0.0063
Book-Crossing,DualHard,0.0845,0.0948,-,0.0896,0.0948
Book-Crossing,DualSoft,0.0133,0.0253,-,0.0193,0.0253
