dataset,model,protocol,ndcg10_mean,ndcg10_std,recall10_mean,recall10_std,n
ML-1M,GlobalMean,SC,0.8739,0.0802,0.0001,0.0000,3
ML-1M,GlobalMean,WR,0.2866,0.1758,0.0000,0.0000,3
ML-1M,GlobalMean,WT,0.7574,0.0000,0.0001,0.0000,3
ML-1M,UserBias,SC,0.8739,0.0802,0.0001,0.0000,3
ML-1M,UserBias,WR,0.9266,0.1271,0.0001,0.0000,3
ML-1M,UserBias,WT,0.8116,0.0000,0.0001,0.0000,3
ML-1M,ItemBias,SC,0.9349,0.0577,0.0001,0.0000,3
ML-1M,ItemBias,WR,0.8862,0.0438,0.0001,0.0000,3
ML-1M,ItemBias,WT,1.0000,0.0000,0.0001,0.0000,3
ML-1M,UserItemBias,SC,0.8625,0.0966,0.0001,0.0000,3
ML-1M,UserItemBias,WR,0.9317,0.0596,0.0001,0.0000,3
ML-1M,UserItemBias,WT,1.0000,0.0000,0.0001,0.0000,3
ML-1M,SVD,SC,0.9177,0.0245,0.0001,0.0000,3
ML-1M,SVD,WR,1.0000,0.0000,0.0001,0.0000,3
ML-1M,SVD,WT,0.8950,0.1818,0.0001,0.0000,3
ML-1M,NeuMF,SC,0.8937,0.0943,0.0001,0.0000,3
ML-1M,NeuMF,WR,0.9548,0.0392,0.0001,0.0000,3
ML-1M,NeuMF,WT,0.8401,0.1461,0.0001,0.0000,3
ML-1M,DeepFM,SC,0.9494,0.0439,0.0001,0.0000,3
ML-1M,DeepFM,WR,0.8853,0.1047,0.0001,0.0000,3
ML-1M,DeepFM,WT,0.8496,0.0837,0.0001,0.0000,3
ML-1M,BehaviorMLP,SC,0.6963,0.2310,0.0001,0.0000,3
ML-1M,BehaviorMLP,WR,1.0000,0.0000,0.0001,0.0000,3
ML-1M,BehaviorMLP,WT,0.8559,0.1517,0.0001,0.0000,3
ML-1M,ProfileMLP,SC,0.9463,0.0486,0.0001,0.0000,3
ML-1M,ProfileMLP,WR,0.9266,0.1271,0.0001,0.0000,3
ML-1M,ProfileMLP,WT,0.8410,0.1012,0.0001,0.0000,3
ML-1M,Hybrid,SC,0.6930,0.2673,0.0001,0.0000,3
ML-1M,Hybrid,WR,0.9537,0.0802,0.0001,0.0000,3
ML-1M,Hybrid,WT,0.9118,0.0205,0.0001,0.0000,3
ML-1M,DualHard,SC,0.9317,0.0596,0.0001,0.0000,3
ML-1M,DualHard,WR,0.9266,0.1271,0.0001,0.0000,3
ML-1M,DualHard,WT,0.9755,0.0424,0.0001,0.0000,3
ML-1M,DualSoft,SC,0.6942,0.1045,0.0001,0.0000,3
ML-1M,DualSoft,WR,1.0000,0.0000,0.0001,0.0000,3
ML-1M,DualSoft,WT,0.9266,0.1271,0.0001,0.0000,3
GoodBooks,GlobalMean,SC,0.8807,0.1528,0.0000,0.0000,3
GoodBooks,GlobalMean,WR,0.7027,0.0156,0.0000,0.0000,3
GoodBooks,GlobalMean,WT,0.8701,0.0000,0.0000,0.0000,3
GoodBooks,UserBias,SC,0.8807,0.1528,0.0000,0.0000,3
GoodBooks,UserBias,WR,1.0000,0.0000,0.0000,0.0000,3
GoodBooks,UserBias,WT,1.0000,0.0000,0.0000,0.0000,3
GoodBooks,ItemBias,SC,1.0000,0.0000,0.0000,0.0000,3
GoodBooks,ItemBias,WR,0.9779,0.0383,0.0000,0.0000,3
GoodBooks,ItemBias,WT,0.9337,0.0000,0.0000,0.0000,3
GoodBooks,UserItemBias,SC,0.8937,0.1841,0.0000,0.0000,3
GoodBooks,UserItemBias,WR,1.0000,0.0000,0.0000,0.0000,3
GoodBooks,UserItemBias,WT,1.0000,0.0000,0.0000,0.0000,3
GoodBooks,SVD,SC,0.8300,0.0663,0.0000,0.0000,3
GoodBooks,SVD,WR,0.9537,0.0802,0.0000,0.0000,3
GoodBooks,SVD,WT,0.9286,0.0681,0.0000,0.0000,3
GoodBooks,NeuMF,SC,0.9537,0.0802,0.0000,0.0000,3
GoodBooks,NeuMF,WR,1.0000,0.0000,0.0000,0.0000,3
GoodBooks,NeuMF,WT,0.9223,0.0773,0.0000,0.0000,3
GoodBooks,DeepFM,SC,1.0000,0.0000,0.0000,0.0000,3
GoodBooks,DeepFM,WR,1.0000,0.0000,0.0000,0.0000,3
GoodBooks,DeepFM,WT,0.8361,0.1587,0.0000,0.0000,3
GoodBooks,BehaviorMLP,SC,0.8038,0.1625,0.0000,0.0000,3
GoodBooks,BehaviorMLP,WR,1.0000,0.0000,0.0000,0.0000,3
GoodBooks,BehaviorMLP,WT,0.9548,0.0392,0.0000,0.0000,3
GoodBooks,ProfileMLP,SC,0.9788,0.0367,0.0000,0.0000,3
GoodBooks,ProfileMLP,WR,0.9684,0.0547,0.0000,0.0000,3
GoodBooks,ProfileMLP,WT,0.9336,0.0665,0.0000,0.0000,3
GoodBooks,Hybrid,SC,0.7211,0.1648,0.0000,0.0000,3
GoodBooks,Hybrid,WR,1.0000,0.0000,0.0000,0.0000,3
GoodBooks,Hybrid,WT,0.9684,0.0547,0.0000,0.0000,3
GoodBooks,DualHard,SC,0.9494,0.0876,0.0000,0.0000,3
GoodBooks,DualHard,WR,1.0000,0.0000,0.0000,0.0000,3
GoodBooks,DualHard,WT,0.8830,0.1078,0.0000,0.0000,3
GoodBooks,DualSoft,SC,0.7257,0.1426,0.0000,0.0000,3
GoodBooks,DualSoft,WR,1.0000,0.0000,0.0000,0.0000,3
GoodBooks,DualSoft,WT,0.9537,0.0802,0.0000,0.0000,3
Book-Crossing,GlobalMean,SC,0.4674,0.1974,0.0001,0.0000,3
Book-Crossing,GlobalMean,WR,0.6987,0.1763,0.0001,0.0000,3
Book-Crossing,UserBias,SC,0.4674,0.1974,0.0001,0.0000,3
Book-Crossing,UserBias,WR,1.0000,0.0000,0.0002,0.0000,3
Book-Crossing,ItemBias,SC,0.9094,0.0785,0.0002,0.0000,3
Book-Crossing,ItemBias,WR,0.8803,0.1113,0.0002,0.0000,3
Book-Crossing,UserItemBias,SC,0.9633,0.0635,0.0002,0.0000,3
Book-Crossing,UserItemBias,WR,0.9472,0.0483,0.0002,0.0000,3
Book-Crossing,SVD,SC,0.9537,0.0802,0.0002,0.0000,3
Book-Crossing,SVD,WR,0.9402,0.0556,0.0002,0.0000,3
Book-Crossing,NeuMF,SC,0.9633,0.0635,0.0002,0.0000,3
Book-Crossing,NeuMF,WR,0.8983,0.1762,0.0002,0.0000,3
Book-Crossing,DeepFM,SC,0.7406,0.1582,0.0002,0.0000,3
Book-Crossing,DeepFM,WR,0.8990,0.0351,0.0002,0.0000,3
Book-Crossing,BehaviorMLP,SC,0.9537,0.0802,0.0002,0.0000,3
Book-Crossing,BehaviorMLP,WR,1.0000,0.0000,0.0002,0.0000,3
Book-Crossing,ProfileMLP,SC,0.9336,0.0665,0.0002,0.0000,3
Book-Crossing,ProfileMLP,WR,0.9266,0.0635,0.0002,0.0000,3
Book-Crossing,Hybrid,SC,0.9527,0.0820,0.0002,0.0000,3
Book-Crossing,Hybrid,WR,1.0000,0.0000,0.0002,0.0000,3
Book-Crossing,DualHard,SC,1.0000,0.0000,0.0002,0.0000,3
Book-Crossing,DualHard,WR,0.9633,0.0635,0.0002,0.0000,3
Book-Crossing,DualSoft,SC,0.9336,0.0029,0.0002,0.0000,3
Book-Crossing,DualSoft,WR,0.8983,0.1110,0.0002,0.0000,3
