dataset,model,SC_rank,WR_rank,WT_rank,max_rank_shift
ML-1M,GlobalMean,9,11,11,2
ML-1M,UserBias,10,9,10,1
ML-1M,ItemBias,1,8,7,7
ML-1M,UserItemBias,3,2,6,4
ML-1M,SVD,2,1,5,4
ML-1M,NeuMF,5,5,8,3
ML-1M,DeepFM,12,12,12,0
ML-1M,BehaviorMLP,11,7,3,8
ML-1M,ProfileMLP,8,10,9,2
ML-1M,Hybrid,4,3,2,2
ML-1M,DualHard,7,6,4,3
ML-1M,DualSoft,6,4,1,5
GoodBooks,GlobalMean,8,11,12,4
GoodBooks,UserBias,9,8,10,2
GoodBooks,ItemBias,1,9,8,8
GoodBooks,UserItemBias,2,2,5,3
GoodBooks,SVD,3,1,6,5
GoodBooks,NeuMF,4,3,7,4
GoodBooks,DeepFM,12,12,9,3
GoodBooks,BehaviorMLP,6,7,4,3
GoodBooks,ProfileMLP,7,10,11,4
GoodBooks,Hybrid,11,4,1,10
GoodBooks,DualHard,5,6,2,4
GoodBooks,DualSoft,10,5,3,7
Book-Crossing,GlobalMean,10,12,-,2
Book-Crossing,UserBias,11,6,-,5
Book-Crossing,ItemBias,6,10,-,4
Book-Crossing,UserItemBias,5,4,-,1
Book-Crossing,SVD,7,5,-,2
Book-Crossing,NeuMF,9,8,-,1
Book-Crossing,DeepFM,12,9,-,3
Book-Crossing,BehaviorMLP,1,2,-,1
Book-Crossing,ProfileMLP,8,11,-,3
Book-Crossing,Hybrid,2,1,-,1
Book-Crossing,DualHard,4,7,-,3
Book-Crossing,DualSoft,3,3,-,0
